1,512,0.215423
1,1024,1.13566
1,1536,3.91574
1,2048,12.8706
1,2560,12.5678
1,3072,40.3549
1,3584,65.2306
2,128,0.00391466
2,256,0.0189146
2,512,0.106925
2,1024,0.815524
2,1536,2.72543
2,2048,6.51527
2,2560,12.5678
2,3072,23.861
2,3584,38.0108
4,128,0.00159838
4,256,0.00899728
4,512,0.0710566
4,1024,0.548322
4,1536,1.82525
4,2048,4.18763
4,2560,14.7061
4,3072,15.7748
4,3584,26.3557
8,128,0.00215061
8,256,0.0129109
8,512,0.0785921
8,1024,0.595915
8,1536,1.88818
8,2048,4.32757
8,2560,9.63261
8,3072,16.001
8,3584,25.084
12,128,0.00397564
12,256,0.0141844
12,512,0.112417
12,1024,0.548169
12,1536,1.74285
12,2048,4.54512
12,2560,8.60223
12,3072,15.4709
12,3584,23.161
