666666
320,2560,12.526200000000001
320,3072,20.483966666666664
320,3584,29.4421
384,512,0.894962
384,1024,2.4778633333333335
384,1536,5.004243333333334
384,2048,8.123679999999998
384,2560,13.418199999999999
384,3072,21.412566666666667
384,3584,29.383499999999998
448,512,1.0829333333333333
448,1024,2.9008533333333335
448,1536,5.456569999999999
448,2048,8.770776666666665
448,2560,13.944733333333334
448,3072,22.5014
448,3584,30.1086
512,512,1.2228566666666667
512,1024,3.4457166666666663
512,1536,5.935399999999999
512,2048,9.248793333333333
512,2560,14.8408
512,3072,22.499166666666667
512,3584,31.485433333333333
