1,25,24.577
1,26,48.9728
1,27,97.2003
1,28,194.682
1,29,387.504
1,30,775.516
2,25,12.6345
2,26,25.0251
2,27,49.9203
2,28,99.6117
2,29,199.066
2,30,398.033
4,25,6.35929
4,26,12.5787
4,27,25.0243
4,28,49.8764
4,29,99.6926
4,30,199.424
8,25,3.23092
8,26,6.38099
8,27,12.933
8,28,26.6098
8,29,53.712
8,30,101.452
16,25,2.63936
16,26,5.17849
16,27,11.0298
16,28,19.0779
16,29,38.6585
16,30,86.9671
32,25,2.38093
32,26,4.70746
32,27,9.6781
32,28,18.8567
32,29,35.6521
32,30,71.6254
64,25,2.26401
64,26,4.29403
64,27,9.08423
64,28,17.6393
64,29,34.0376
64,30,69.7182
128,25,2.29082
128,26,4.3783
128,27,8.55643
128,28,16.672
128,29,33.6254
128,30,66.0261
192,25,2.26072
192,26,4.4478
192,27,8.8025
192,28,16.8278
192,29,34.4076
192,30,66.3312
256,25,2.31181
256,26,4.92424
256,27,8.82034
256,28,17.4592
256,29,35.1296
256,30,66.1229
320,25,2.2901
320,26,4.81755
320,27,10.1005
320,28,16.7154
320,29,33.378
320,30,67.3055
384,25,2.43829
384,26,4.41173
384,27,9.23982
384,28,17.5713
384,29,34.2132
384,30,67.9325
448,25,2.38947
448,26,4.75189
448,27,8.84513
448,28,17.7334
448,29,34.0994
448,30,69.0791
512,25,2.73383
512,26,5.01969
512,27,9.00917
512,28,17.2581
512,29,37.5311
512,30,66.9742
