1,512,0.71162
1,1024,3.92119
1,1536,12.8886
1,2048,40.8087
1,2560,45.3089
1,3072,127.351
1,3584,205.875
2,512,0.413018
2,1024,2.94109
2,1536,8.54912
2,2048,20.3282
2,2560,41.94
2,3072,78.3971
2,3584,124
4,512,0.220896
4,1024,1.58695
4,1536,5.27832
4,2048,12.25
4,2560,57.6969
4,3072,66.1829
4,3584,114.717
8,512,0.19577
8,1024,1.49504
8,1536,4.41309
8,2048,12.3361
8,2560,22.4989
8,3072,34.9824
8,3584,54.6562
16,512,0.156616
16,1024,1.19603
16,1536,3.53047
16,2048,9.86888
16,2560,17.9991
16,3072,27.9859
16,3584,43.725
32,512,0.136256
32,1024,1.04055
32,1536,3.07151
32,2048,8.58593
32,2560,15.6592
32,3072,24.3477
32,3584,38.0414
64,512,0.129443
64,1024,0.988523
64,1536,2.91793
64,2048,8.15663
64,2560,14.8762
64,3072,23.1303
64,3584,36.1393
128,512,0.119088
128,1024,0.909441
128,1536,2.6845
128,2048,7.5041
128,2560,13.6861
128,3072,21.2799
128,3584,33.2482
